CLID	subtype	ACTR3B	ANLN	BAG1	BCL2	BIRC5	BLVRA	CCNB1	CCNE1	CDC20	CDC6	CDH3	CENPF	CEP55	CXXC5	EGFR	ERBB2	ESR1	EXO1	FGFR4	FOXA1	FOXC1	GPR160	GRB7	KIF2C	KRT14	KRT17	KRT5	MAPT	MDM2	MELK	MIA	MKI67	MLPH	MMP11	MYBL2	MYC	NAT1	ORC6L	PGR	PHGDH	PTTG1	RRM2	SFRP1	SLC39A6	TMEM45B	TYMS	UBE2C	UBE2T
TCGA-B6-A0X7-01A	0	244.078	197.391	1550.96	3626.85	102.4	446.619	430.484	10.6419	215.929	102.643	352.214	1002.75	122.897	724.339	148.301	9793.34	11875.7	56.6426	195.331	11645.4	120.838	1411.95	540.68	157.913	1184.69	949.88	1256.44	5238.24	2478.89	67.9712	24.3735	590.113	9641.61000000001	6700.65	158.943	1342.6	1480.95	25.4034	868.864	502.575	153.45	173.704	1295.57	9334.36000000001	211.123	187.24	173.704	218.675
TCGA-B6-A1KI-01A	0	222.418	164.906	2011.46	993.838	67.5499	1121.19	337.148	72.1831	99.1784	294.308	41.6667	563.674	73.0634	1031.69	102.113	11387	27749.4	66.9014	8.8028	9190.73	279.636	1212.44	373.239	87.1479	103.58	50.4695	114.73	9565.73	2377.35	79.8122	2.6408	342.43	6901.11	2762.62	71.5962	292.84	17062.5	34.6244	1444.2	340.082	60.1526	220.364	410.798	34433.7	172.242	160.079	117.664	143.486
TCGA-B6-A2IU-01A	0	205.607	501.797	2265.52	1186.92	276.434	1468.01	843.278	15.816	527.678	304.817	386.053	3017.25	282.531	1461.54	64.7017	14024.4	10304.1	191.229	500.36	8242.27	172.538	1281.09	1242.27	384.615	981.308000000001	460.101	1180.45	5984.9	2847.59	155.284	17.2538	1281.81	19381.7	2954.71	222.861	2066.86	10708.8	45.2912	6396.82	305.536	278.217	362.329	744.788	13154.6	439.252	669.468	387.491	426.312
TCGA-B6-A3ZX-01A	1	706.096	614.039	1325.96	1144.27	832.447000000001	596.882	964.448	174.214	1206.3	439.165	617.009	3458.55	452.363	483.709	334.234	2793.37	134.95	218.098	110.864	179.494	1064.42	203.58	300.586	731.172	3135.2	12413.4	24270.9	370.205	1246.23	484.039	234.051	3475.38	118.453	1915.37	1236	4631.2	82.8178	152.438	30.6855	2714.51	494.927	1640.19	28145.8	2225.52	21.4468	440.884	790.893	330.281
TCGA-B6-A400-01A	1	439.467	2170.4	895.977	342.556	2139.79	910.554999999999	1583.96	1114.04	2847.9	537.257	3790.07	3676.18	1040.84	648.807	177.131	4493.34	18.1525	496.853	381.789	86.6637	4516.47	180.061	718.489	1269.21	7771.04	68435.3999999999	34108.5	80.5153	1035.87	512.956	4831.16	4070.56	258.235	25847.2	1708.39	5373.44	30.7422	543.112	49.694	13297.9	1163.81	1595.37	5954.33	2763.58	2.635	2892.94	1957.55	890.938
TCGA-B6-A401-01A	0	346.22	722.887	941.762	577.831	207.314	2409.85	677.044	109.135	593.91	217.243	2219.3	1185.77	202.874	1322.61	60.8963	10981.2	7122.48	147.451	36.6062	4676.02	127.609	647.964	1178.93	292.508	3409.85	4127.61	2870.34	3521.72	787.205	102.292	92.8532	875.812	6472.12	21357.5	514.54	2133.42	733.835	137.188	7413.72	710.229	294.902	510.435	758.809	24954.2	103.661	346.822	549.093	369.825
TCGA-B6-A402-01A	1	526.487	1524.86	1085.03	43.1948	847.461	255.501	956.805	232.681	1048.08	853.301	2787.69	5370.82	544.01	160.554	256.316	4779.54	46.0473	751.426	354.931	3.26	4777.1	444.988	836.186	412.795	58360.6	9454.36000000001	8009.37	106.357	1661.78	520.782	1141.24	1312.55	555.42	5275.06	1558.27	6502.44	14.2624	354.523	8.5575	3521.6	1233.9	928.28	9933.17	2069.27	6.52	1061.4	1318.66	1670.74
TCGA-B6-A408-01A	0	183.444	240.267	1542.71	5810.24	120.035	822.518	574.535	17.8885	457.734	121.712	1441.25	763.241	125.921	1081.73	15.7839	7971.94	22290.1	62.4342	43.1428	7394.6	110.487	935.461000000001	883.55	253.595	875.131	644.686	464.749	2008.42	7584.01	141.705	21.5258	487.899	10602.2	17920.7	223.781	761.487	175.728	62.4342	1674.04	218.871	262.715	300.947	233.602	16983.9	705.717	572.22	289.372	169.414
TCGA-B6-A409-01A	1	624.483	1076.63	2220.39	150.398	755.138	771.701	1447.06	195.867	4832.11	360.572	7036.25	1535.45	421.304	594.277	286.805	4574.24	152.623	493.482	217.17	155.803	1816.22	50.5564	659.141	1511.92	8333.86	11348.2	3191.73	89.9841	897.615	638.156	672.353	963.434	1281.08	2513.83	1376.47	3439.11	65.1828	627.345	102.703	3816.53	787.917	698.569	12542.4	1903.34	6.3593	552.782	2186.65	1281.08
TCGA-B6-A40B-01A	0	219.487	501.685	3656.04	814.917	229.943	2610.17	886.587	49.5925	648.543	167.975	1033.76	1259.01	265.56	2245.1	39.3541	12183.1	3503.47	163.815	354.827	8910.34	184.292	883.707	1315.96	201.89	7847.46	388.422	5088.83	3306.38	1379.31	288.277	21.1456	1099.35	13268.7	21350.4	602.149	7268.99	6088.68	68.1498	2424.29	804.999	453.372	718.612	115.503	12783.7	328.271	717.929999999999	530.16	375.943
